Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2024-01-01 09:50:00,2024-01-01 09:53:00,307.85,303.23,81,-398.79,-1.6,LOSS
ATM_CALL,2024-01-01 09:56:00,2024-01-01 09:59:00,296.18,291.74,84,-397.88,-1.6,LOSS
ATM_CALL,2024-01-01 10:13:00,2024-01-01 10:16:00,260.79,256.88,95,-396.21,-1.6,LOSS
ATM_CALL,2024-01-01 10:17:00,2024-01-01 10:19:00,249.86,246.11,99,-395.59,-1.6,LOSS
ATM_CALL,2024-01-01 10:41:00,2024-01-01 10:43:00,192.24,189.36,129,-396.6,-1.6,LOSS
ATM_CALL,2024-01-01 10:48:00,2024-01-01 10:50:00,180.23,177.53,138,-397.76,-1.6,LOSS
ATM_CALL,2024-01-01 10:51:00,2024-01-01 10:53:00,173.98,171.37,143,-397.88,-1.6,LOSS
ATM_CALL,2024-01-01 10:57:00,2024-01-01 11:15:00,177.02,212.42,140,4929.3,19.89,WIN
ATM+100_CALL,2024-01-01 10:08:00,2024-01-01 10:12:00,263.02,259.07,95,-399.6,-1.6,LOSS
ATM+100_CALL,2024-01-01 10:13:00,2024-01-01 10:15:00,251.22,247.45,99,-397.75,-1.6,LOSS
ATM+100_CALL,2024-01-01 10:31:00,2024-01-01 10:33:00,204.67,201.6,122,-399.33,-1.6,LOSS
ATM+100_CALL,2024-01-01 10:42:00,2024-01-01 10:45:00,182.1,179.37,137,-398.98,-1.6,LOSS
ATM+100_CALL,2024-01-01 10:46:00,2024-01-01 10:48:00,176.71,174.06,141,-398.47,-1.6,LOSS
ATM+100_CALL,2024-01-01 10:51:00,2024-01-01 10:53:00,167.21,164.7,149,-398.44,-1.6,LOSS
ATM+100_CALL,2024-01-01 10:54:00,2024-01-01 11:31:00,164.62,197.54,151,4944.18,19.89,WIN
ATM-100_CALL,2024-01-01 09:50:00,2024-01-01 09:54:00,297.66,293.2,83,-395.11,-1.6,LOSS
ATM-100_CALL,2024-01-01 09:55:00,2024-01-01 09:59:00,285.91,281.62,87,-397.8,-1.6,LOSS
ATM-100_CALL,2024-01-01 10:16:00,2024-01-01 10:18:00,240.75,237.14,103,-396.57,-1.6,LOSS
ATM-100_CALL,2024-01-01 10:19:00,2024-01-01 10:21:00,229.58,226.14,108,-396.53,-1.6,LOSS
ATM-100_CALL,2024-01-01 10:30:00,2024-01-01 10:33:00,207.53,204.42,120,-398.27,-1.6,LOSS
ATM-100_CALL,2024-01-01 10:34:00,2024-01-01 10:37:00,199.31,196.32,125,-398.43,-1.6,LOSS
ATM-100_CALL,2024-01-01 10:38:00,2024-01-01 10:42:00,196.78,193.83,126,-396.52,-1.6,LOSS
ATM-100_CALL,2024-01-01 10:56:00,2024-01-01 11:30:00,165.9,199.08,150,4949.63,19.89,WIN
ATM-100_CALL,2024-01-01 11:31:00,2024-01-01 11:52:00,198.58,238.3,126,4976.69,19.89,WIN